,Year,Race Name,Driver ID,Constructor Name,Grid Position,Final Position,Fastest Lap Time,Points,Status,Number of Laps,Lap,Duration,Weather,Temperature (°C),Humidity (%),Wind Speed (m/s),Rain (mm),Pit Stops
42,2022,Sa,sa,Fe,3.0,3.0,91.905,15.0,Finished,50.0,16.0,21.521,No rain,26.03,53,2.06,0.0,1
43,2019,Hu,bo,Me,2.0,8.0,79.331,4.0,+1 Lap,69.0,46.0,21.744,No rain,1.26,70,3.09,0.0,2
44,2021,Me,sa,Fe,6.0,6.0,80.081,8.0,+1 Lap,70.0,42.0,22.031,No rain,23.88,23,4.12,0.0,1
45,2019,Br,ga,To,6.0,2.0,72.425,18.0,Finished,71.0,47.0,23.584,No rain,21.25,86,4.63,0.0,2
46,2021,Sa,ve,As,17.0,16.0,94.03,0.0,DNF,44.0,13.0,16:52.304,No rain,26.03,53,2.06,0.0,1
47,2023,Ba,ha,Me,7.0,5.0,96.54599999999999,10.0,Finished,57.0,30.0,24.690,No rain,21.05,72,5.45,0.0,2
48,2023,Sã,sa,Fe,7.0,6.0,74.406,8.0,Finished,71.0,1.0,23.030,No rain,21.25,86,4.63,0.0,2
49,2021,Ab,ri,Mc,10.0,12.0,88.723,0.0,+1 Lap,57.0,18.0,21.449,No rain,21.1,68,2.06,0.0,2
50,2024,Hu,pe,,,,,,DNF,,28.0,21.395,No rain,1.26,70,3.09,0.0,1
51,2023,Ja,al,As,10.0,8.0,97.203,4.0,Finished,53.0,25.0,24.294,No rain,7.84,72,6.85,0.0,2
52,2021,Ba,ri,Mc,6.0,7.0,94.932,6.0,Finished,56.0,13.0,24.688,No rain,21.05,72,5.45,0.0,2
53,2021,Sa,ts,Al,8.0,14.0,92.506,0.0,+1 Lap,49.0,13.0,16:46.407,No rain,26.03,53,2.06,0.0,1
54,2020,Tu,ha,Me,1.0,1.0,78.833,26.0,Finished,59.0,8.0,23:56.696,No rain,5.13,81,2.59,0.0,2
55,2019,Ch,no,Mc,15.0,18.0,98.346,0.0,DNF,50.0,17.0,33.638,No rain,2.99,75,4.0,0.0,3
56,2023,Mi,sa,Wi,20.0,20.0,92.384,0.0,+1 Lap,56.0,2.0,48.938,No rain,22.99,64,8.23,0.0,1
57,2024,Sã,co,Wi,16.0,17.0,84.29599999999999,0.0,DNF,30.0,26.0,25.287,No rain,21.25,86,4.63,0.0,2
58,2023,Mo,al,Wi,13.0,14.0,76.672,0.0,+1 Lap,77.0,18.0,24.290,No rain,11.92,73,3.6,0.0,2
59,2020,Ba,ri,Re,6.0,7.0,92.827,6.0,Finished,57.0,16.0,24.617,No rain,21.05,72,5.45,0.0,2
60,2020,Tu,ga,Al,19.0,13.0,99.586,0.0,+1 Lap,57.0,10.0,23.669,No rain,5.73,65,4.63,0.0,2
61,2019,Si,gr,Ha,17.0,11.0,106.274,0.0,Finished,61.0,23.0,29.456,No rain,26.92,87,1.03,0.0,2
62,2019,Mo,al,To,10.0,8.0,75.607,4.0,Finished,78.0,40.0,25.062,No rain,11.92,73,3.6,0.0,1
63,2023,Du,ru,Me,3.0,17.0,75.124,0.0,Finished,72.0,4.0,21.201,No rain,1.59,88,3.6,0.0,2
64,2022,Mo,ha,Me,8.0,8.0,77.203,4.0,Finished,64.0,22.0,24.507,No rain,11.92,73,3.6,0.0,2
65,2024,It,al,As,11.0,11.0,82.944,0.0,Finished,53.0,12.0,24.866,Rain,5.0,87,0.45,1.0,2
66,2024,Ca,ts,RB,8.0,14.0,77.309,0.0,Finished,70.0,44.0,25.569,No rain,-4.97,57,6.69,0.0,1
67,2020,70,gi,Al,19.0,17.0,91.826,0.0,+1 Lap,51.0,7.0,27.892,No rain,4.18,97,2.28,0.0,1
68,2024,Sã,ts,RB,3.0,7.0,81.828,6.0,Finished,69.0,32.0,23:39.030,No rain,21.25,86,4.63,0.0,2
69,2024,Em,zh,Sa,17.0,15.0,81.01599999999999,0.0,+1 Lap,62.0,33.0,30.244,Rain,4.34,96,2.91,1.33,1
70,2022,Me,ga,Al,14.0,11.0,82.277,0.0,+1 Lap,70.0,40.0,29.168,No rain,23.88,23,4.12,0.0,1
71,2024,Hu,ha,Me,5.0,3.0,82.15299999999999,15.0,Finished,70.0,16.0,21.306,No rain,1.26,70,3.09,0.0,2
72,2021,Qa,la,Wi,17.0,19.0,88.732,0.0,DNF,50.0,18.0,25.811,No rain,20.97,72,3.43,0.0,1
73,2024,Au,le,Fe,6.0,11.0,69.584,0.0,Finished,71.0,16.0,21.685,No rain,-2.06,86,1.54,0.0,3
74,2020,It,ha,Me,1.0,7.0,82.746,7.0,Finished,53.0,20.0,24.671,Rain,5.0,87,0.45,1.0,2
75,2021,Ru,mi,,,,,,DNF,,20.0,29.996,No rain,-0.89,51,7.0,0.0,1
76,2022,Un,ve,As,10.0,8.0,102.54599999999999,4.0,Finished,56.0,18.0,24.307,Rain,17.84,85,3.09,0.0,1
77,2022,Sp,ke,,,,,,DNF,,1.0,29.632,No rain,9.61,85,3.09,0.0,2
78,2023,Ca,ts,Al,19.0,14.0,76.666,0.0,Finished,70.0,1.0,23.646,No rain,-4.97,57,6.69,0.0,2
79,2021,Me,le,Fe,8.0,5.0,80.66499999999999,10.0,Finished,71.0,30.0,22.085,No rain,23.88,23,4.12,0.0,1
80,2022,Au,ga,Al,14.0,15.0,70.104,0.0,+1 Lap,70.0,12.0,22.724,No rain,-2.06,86,1.54,0.0,2
81,2020,Au,ra,,,,,,DNF,,51.0,21.569,No rain,-2.06,86,1.54,0.0,2
82,2020,Sa,no,Mc,19.0,10.0,,1.0,Finished,87.0,54.0,24.245,No rain,21.05,72,5.45,0.0,2
83,2019,It,ri,Re,5.0,4.0,83.46600000000001,12.0,Finished,53.0,30.0,24.320,Rain,5.0,87,0.45,1.0,1
84,2021,St,al,Al,8.0,9.0,69.749,2.0,+1 Lap,70.0,27.0,21.131,No rain,-2.06,86,1.54,0.0,1
85,2023,Du,ke,,,,,,DNF,,1.0,31.341,No rain,1.59,88,3.6,0.0,2
86,2019,Au,ri,Re,12.0,12.0,68.019,0.0,+1 Lap,70.0,46.0,22.305,No rain,-2.06,86,1.54,0.0,1
87,2019,Ge,bo,Me,3.0,15.0,78.27199999999999,0.0,DNF,56.0,26.0,20.498,No rain,0.22,86,0.0,0.0,2
88,2023,Sp,st,As,5.0,6.0,78.72200000000001,8.0,Finished,66.0,14.0,22.355,No rain,9.61,85,3.09,0.0,2
89,2021,Az,sa,Fe,5.0,8.0,105.7,4.0,Finished,51.0,10.0,20.064,Rain,4.97,75,12.35,0.0,1
90,2021,It,no,Mc,3.0,2.0,84.971,18.0,Finished,53.0,24.0,24.168,Rain,5.0,87,0.45,1.0,1
91,2021,Me,la,Wi,13.0,17.0,81.54599999999999,0.0,+2 Laps,69.0,11.0,23.681,No rain,23.88,23,4.12,0.0,2
92,2021,Po,no,Mc,7.0,5.0,81.696,10.0,Finished,66.0,3.0,22.551,No rain,10.33,88,1.9,0.0,2
93,2023,La,ke,,,,,,DNF,,26.0,21.868,No rain,14.64,31,1.54,0.0,2
94,2022,Em,pe,,,,,,DNF,,50.0,29.627,Rain,4.34,96,2.91,1.33,2
95,2023,Mo,pi,Mc,11.0,10.0,77.513,1.0,+1 Lap,77.0,54.0,25.851,No rain,11.92,73,3.6,0.0,1
96,2024,Sa,oc,Al,17.0,13.0,93.481,0.0,+1 Lap,49.0,7.0,22.502,No rain,26.03,53,2.06,0.0,1
97,2024,Du,sa,Fe,10.0,5.0,74.117,10.0,Finished,72.0,30.0,20.840,No rain,1.59,88,3.6,0.0,1
98,2023,Be,ts,Al,11.0,10.0,111.394,1.0,Finished,44.0,24.0,22.737,Rain,-1.91,100,2.57,0.0,2
99,2023,Ca,zh,Al,20.0,16.0,77.09,0.0,+1 Lap,69.0,32.0,27.509,No rain,-4.97,57,6.69,0.0,2
100,2022,Ja,bo,Al,12.0,15.0,107.82,0.0,Finished,28.0,2.0,6:47.553,No rain,7.84,72,6.85,0.0,2
101,2023,Du,sa,Fe,6.0,5.0,74.934,10.0,Finished,72.0,10.0,19.511,No rain,1.59,88,3.6,0.0,2
102,2020,Ei,pe,,,,,,DNF,,28.0,22.880,No rain,-2.31,93,3.09,0.0,1
103,2024,Br,pe,,,,,,DNF,,19.0,28.391,No rain,4.18,97,2.28,0.0,2
104,2021,Qa,sa,Fe,5.0,7.0,86.57,6.0,Finished,57.0,27.0,25.639,No rain,20.97,72,3.43,0.0,1
105,2019,Me,sa,Mc,7.0,13.0,80.311,0.0,+1 Lap,70.0,35.0,22.179,No rain,23.88,23,4.12,0.0,2
106,2023,Du,la,Al,19.0,13.0,74.82,0.0,Finished,72.0,1.0,42.641,No rain,1.59,88,3.6,0.0,2
107,2023,Si,ke,,,,,,DNF,,20.0,31.475,No rain,26.92,87,1.03,0.0,2
108,2023,Au,ha,Me,3.0,2.0,80.613,18.0,Finished,58.0,8.0,15:25.181,No rain,17.76,67,0.89,0.0,1
109,2020,Sp,gi,Al,20.0,16.0,81.801,0.0,+1 Lap,65.0,45.0,21.794,No rain,9.61,85,3.09,0.0,2
110,2021,Me,bo,Me,1.0,15.0,77.774,0.0,+2 Laps,69.0,67.0,26.443,No rain,23.88,23,4.12,0.0,4
111,2022,It,la,Wi,10.0,15.0,86.798,0.0,+1 Lap,52.0,15.0,26.782,Rain,5.0,87,0.45,1.0,2
112,2022,Du,le,Fe,2.0,3.0,74.413,15.0,Finished,72.0,17.0,19.080,No rain,1.59,88,3.6,0.0,1
113,2021,Au,ma,Ha,20.0,19.0,69.757,0.0,+2 Laps,69.0,45.0,23.182,No rain,-2.06,86,1.54,0.0,2
114,2023,Au,ha,Me,3.0,2.0,80.613,18.0,Finished,58.0,8.0,15:25.181,No rain,17.76,67,0.89,0.0,1
115,2019,Au,kv,To,16.0,17.0,69.498,0.0,+1 Lap,70.0,32.0,25.091,No rain,-2.06,86,1.54,0.0,1
116,2023,Mi,oc,Al,8.0,9.0,91.143,2.0,Finished,57.0,39.0,21.942,No rain,22.99,64,8.23,0.0,1
117,2024,Sp,ru,Me,4.0,4.0,78.28999999999999,12.0,Finished,66.0,15.0,25.023,No rain,9.61,85,3.09,0.0,2
118,2024,Hu,zh,Sa,18.0,19.0,83.487,0.0,+1 Lap,69.0,7.0,21.993,No rain,1.26,70,3.09,0.0,2
119,2024,Ja,no,Mc,3.0,5.0,95.186,10.0,Finished,53.0,1.0,26:20.116,No rain,7.84,72,6.85,0.0,2
120,2019,Ca,ga,Re,5.0,8.0,76.157,4.0,+1 Lap,69.0,7.0,23.485,No rain,-4.97,57,6.69,0.0,1
121,2020,Au,ri,Re,10.0,19.0,70.61,0.0,DNF,17.0,,,No rain,-2.06,86,1.54,0.0,0
122,2020,Ru,al,Re,15.0,10.0,98.37700000000001,1.0,Finished,53.0,1.0,30.211,No rain,-0.89,51,7.0,0.0,2
123,2024,Au,hu,,,,,,DNF,,35.0,18.145,No rain,17.76,67,0.89,0.0,2
124,2022,Ja,le,Fe,2.0,3.0,104.489,15.0,Finished,28.0,7.0,25.899,No rain,7.84,72,6.85,0.0,2
125,2019,Ru,ra,,,,,,DNF,,27.0,36.512,No rain,-0.89,51,7.0,0.0,2
126,2024,Sa,ts,RB,9.0,15.0,93.02600000000001,0.0,+1 Lap,49.0,7.0,21.694,No rain,26.03,53,2.06,0.0,1
127,2019,Az,sa,Mc,9.0,7.0,105.807,6.0,Finished,51.0,12.0,19.755,Rain,4.97,75,12.35,0.0,1
128,2019,Ja,ri,Re,16.0,19.0,93.481,0.0,DNF,51.0,29.0,23.292,No rain,7.84,72,6.85,0.0,1
129,2020,St,kv,Al,13.0,10.0,68.378,1.0,+1 Lap,70.0,36.0,22.197,No rain,-2.06,86,1.54,0.0,1
130,2022,Sã,al,Al,17.0,5.0,74.164,10.0,Finished,71.0,35.0,28.855,No rain,21.25,86,4.63,0.0,2
131,2021,Br,st,As,14.0,8.0,91.992,4.0,Finished,52.0,23.0,28.213,No rain,4.18,97,2.28,0.0,2
132,2024,Qa,st,As,15.0,18.0,90.935,0.0,DNF,8.0,,,No rain,20.97,72,3.43,0.0,0
133,2022,Br,sa,Fe,1.0,1.0,90.813,25.0,Finished,52.0,1.0,50:31.752,No rain,4.18,97,2.28,0.0,2
134,2019,Ba,ku,Wi,20.0,16.0,97.90299999999999,0.0,+2 Laps,55.0,11.0,24.667,No rain,21.05,72,5.45,0.0,2
135,2021,Sp,pe,,,,,,DNF,,27.0,22.382,No rain,9.61,85,3.09,0.0,1
136,2022,Sã,sa,Fe,7.0,3.0,73.953,15.0,Finished,71.0,36.0,23.483,No rain,21.25,86,4.63,0.0,2
137,2020,St,no,Mc,9.0,5.0,67.193,10.0,Finished,71.0,39.0,22.406,No rain,-2.06,86,1.54,0.0,1
138,2024,Ba,le,Fe,2.0,4.0,94.09,12.0,Finished,57.0,11.0,24.069,No rain,21.05,72,5.45,0.0,1
139,2020,Ba,pe,,,,,,DNF,,1.0,19:23.442,No rain,21.05,72,5.45,0.0,2
140,2020,Em,kv,Al,8.0,4.0,77.666,12.0,Finished,63.0,14.0,30.277,Rain,4.34,96,2.91,1.33,2
141,2022,Au,ri,Mc,7.0,6.0,82.451,8.0,Finished,58.0,21.0,18.150,No rain,17.76,67,0.89,0.0,1
142,2023,Sã,sa,Fe,7.0,6.0,74.406,8.0,Finished,71.0,2.0,23:33.704,No rain,21.25,86,4.63,0.0,2
143,2020,Po,bo,Me,2.0,2.0,79.345,18.0,Finished,66.0,41.0,26.512,No rain,10.33,88,1.9,0.0,1
144,2024,Em,al,Wi,14.0,20.0,81.274,0.0,DNF,51.0,8.0,30.050,Rain,4.34,96,2.91,1.33,4
145,2022,Si,zh,Al,14.0,20.0,125.556,0.0,DNF,6.0,,,No rain,26.92,87,1.03,0.0,0
146,2020,Be,le,Fe,13.0,14.0,107.84,0.0,Finished,44.0,24.0,25.100,Rain,-1.91,100,2.57,0.0,2
147,2021,Sa,ve,As,17.0,16.0,94.03,0.0,DNF,44.0,13.0,16:52.304,No rain,26.03,53,2.06,0.0,1
148,2019,Br,sa,Mc,13.0,6.0,89.757,8.0,Finished,52.0,20.0,27.980,No rain,4.18,97,2.28,0.0,1
149,2020,Au,pe,,,,,,DNF,,26.0,22.383,No rain,-2.06,86,1.54,0.0,2
150,2024,Ba,bo,Sa,16.0,19.0,96.202,0.0,+1 Lap,56.0,12.0,26.420,No rain,21.05,72,5.45,0.0,2
151,2024,Si,ts,RB,8.0,12.0,96.393,0.0,+1 Lap,61.0,33.0,29.662,No rain,26.92,87,1.03,0.0,1
152,2020,Ru,no,Mc,8.0,15.0,97.37700000000001,0.0,+1 Lap,52.0,1.0,37.108,No rain,-0.89,51,7.0,0.0,2
153,2019,Au,kv,To,15.0,10.0,87.44800000000001,1.0,+1 Lap,57.0,26.0,22.086,No rain,17.76,67,0.89,0.0,1
154,2021,Sp,ru,Wi,15.0,14.0,83.208,0.0,+1 Lap,65.0,28.0,21.919,No rain,9.61,85,3.09,0.0,2
155,2019,Sp,ke,,,,,,DNF,,45.0,22.992,No rain,9.61,85,3.09,0.0,2
156,2024,Un,sa,Fe,3.0,2.0,97.763,18.0,Finished,56.0,21.0,23.963,Rain,17.84,85,3.09,0.0,1
157,2023,Sã,ha,Me,5.0,8.0,74.739,4.0,Finished,71.0,1.0,18.521,No rain,21.25,86,4.63,0.0,2
158,2020,Au,al,Re,4.0,13.0,68.432,0.0,DNF,67.0,51.0,21.842,No rain,-2.06,86,1.54,0.0,3
159,2024,Ch,al,Wi,14.0,12.0,100.78999999999999,0.0,Finished,56.0,23.0,23.600,No rain,2.99,75,4.0,0.0,2
160,2020,Ei,la,Wi,18.0,14.0,91.377,0.0,Finished,60.0,33.0,24.063,No rain,-2.31,93,3.09,0.0,2
161,2024,Au,al,Wi,16.0,15.0,70.364,0.0,+1 Lap,70.0,12.0,21.878,No rain,-2.06,86,1.54,0.0,2
162,2021,Ab,le,Fe,7.0,10.0,88.43299999999999,1.0,Finished,58.0,15.0,22.461,No rain,21.1,68,2.06,0.0,2
163,2020,Ab,ra,,,,,,DNF,,10.0,22.012,No rain,21.1,68,2.06,0.0,1
164,2020,Tu,ri,Re,8.0,4.0,80.426,12.0,Finished,59.0,8.0,24,No rain,5.13,81,2.59,0.0,2
165,2024,Ja,oc,Al,15.0,15.0,96.232,0.0,+1 Lap,52.0,1.0,26:26.095,No rain,7.84,72,6.85,0.0,1
166,2022,Sp,ma,,,,,,DNF,,28.0,21.966,No rain,9.61,85,3.09,0.0,2
167,2021,Em,no,Mc,7.0,3.0,78.259,15.0,Finished,63.0,28.0,30.654,Rain,4.34,96,2.91,1.33,1
168,2022,Be,la,Wi,11.0,18.0,112.256,0.0,+1 Lap,43.0,3.0,35.825,Rain,-1.91,100,2.57,0.0,2
169,2024,Hu,sa,Wi,14.0,17.0,80.561,0.0,+1 Lap,69.0,33.0,21.398,No rain,1.26,70,3.09,0.0,2
170,2022,It,al,Al,6.0,19.0,87.203,0.0,DNF,31.0,,,Rain,5.0,87,0.45,1.0,0
171,2024,Ja,bo,Sa,13.0,14.0,96.608,0.0,+1 Lap,52.0,6.0,24.824,No rain,7.84,72,6.85,0.0,2
172,2020,Au,no,Mc,3.0,3.0,67.475,16.0,Finished,71.0,26.0,23.637,No rain,-2.06,86,1.54,0.0,3
173,2019,Be,pe,,,,,,DNF,,15.0,23.133,Rain,-1.91,100,2.57,0.0,1
174,2020,It,st,Ra,8.0,3.0,83.89699999999999,15.0,Finished,53.0,26.0,25:17.308,Rain,5.0,87,0.45,1.0,1
175,2023,Du,no,Mc,2.0,7.0,74.39,6.0,Finished,72.0,10.0,20.395,No rain,1.59,88,3.6,0.0,2
176,2022,Au,al,Al,19.0,10.0,68.55799999999999,1.0,+1 Lap,70.0,27.0,21.552,No rain,-2.06,86,1.54,0.0,1
177,2019,Au,ke,,,,,,DNF,,14.0,22.388,No rain,17.76,67,0.89,0.0,1
178,2019,Br,pe,,,,,,DNF,,45.0,23.142,No rain,21.25,86,4.63,0.0,2
179,2023,Du,ts,Al,17.0,15.0,76.253,0.0,Finished,72.0,10.0,18.904,No rain,1.59,88,3.6,0.0,2
180,2024,Ch,pi,Mc,5.0,8.0,99.739,4.0,Finished,56.0,16.0,22.673,No rain,2.99,75,4.0,0.0,1
181,2019,Be,ve,Fe,2.0,4.0,106.40899999999999,13.0,Finished,44.0,15.0,22.863,Rain,-1.91,100,2.57,0.0,2
182,2024,Em,al,Wi,14.0,20.0,81.274,0.0,DNF,51.0,9.0,33.179,Rain,4.34,96,2.91,1.33,4
183,2022,Me,oc,Al,10.0,8.0,83.279,4.0,+1 Lap,70.0,33.0,22.343,No rain,23.88,23,4.12,0.0,1
184,2021,Sã,no,Mc,5.0,10.0,73.761,1.0,+1 Lap,70.0,1.0,27.313,No rain,21.25,86,4.63,0.0,3
185,2022,Du,ha,Me,4.0,4.0,73.854,12.0,Finished,72.0,29.0,19.046,No rain,1.59,88,3.6,0.0,1
186,2020,Ei,hu,,,,,,DNF,,29.0,22.700,No rain,-2.31,93,3.09,0.0,2
187,2020,Ei,ha,Me,2.0,1.0,88.145,25.0,Finished,60.0,16.0,23.983,No rain,-2.31,93,3.09,0.0,2
188,2022,Sã,ga,Al,10.0,14.0,75.327,0.0,Finished,71.0,19.0,23.460,No rain,21.25,86,4.63,0.0,2
189,2021,It,pe,,,,,,DNF,,26.0,23.906,Rain,5.0,87,0.45,1.0,1
190,2024,Em,ke,,,,,,DNF,,37.0,31.302,Rain,4.34,96,2.91,1.33,1
191,2023,Du,ts,Al,17.0,15.0,76.253,0.0,Finished,72.0,10.0,18.904,No rain,1.59,88,3.6,0.0,2
192,2022,Fr,la,Wi,18.0,17.0,99.65,0.0,DNF,40.0,38.0,36.942,No rain,8.64,77,3.73,0.1,2
193,2019,Az,gi,Al,17.0,12.0,105.969,0.0,+1 Lap,50.0,7.0,20.776,Rain,4.97,75,12.35,0.0,1
194,2020,Br,gr,Ha,17.0,16.0,89.782,0.0,Finished,52.0,36.0,33.816,No rain,4.18,97,2.28,0.0,1
195,2022,Si,st,As,11.0,6.0,110.283,8.0,Finished,59.0,35.0,29.863,No rain,26.92,87,1.03,0.0,1
196,2024,Mi,ke,,,,,,DNF,,28.0,29.727,No rain,22.99,64,8.23,0.0,3
197,2019,Ba,ha,Me,3.0,1.0,93.52799999999999,25.0,Finished,57.0,34.0,24.324,No rain,21.05,72,5.45,0.0,2
198,2024,Du,zh,Sa,17.0,20.0,75.724,0.0,+2 Laps,70.0,51.0,22.044,No rain,1.59,88,3.6,0.0,2
199,2022,Du,ke,,,,,,DNF,,34.0,23.710,No rain,1.59,88,3.6,0.0,2
200,2022,Ja,ve,As,9.0,6.0,106.964,8.0,Finished,28.0,5.0,24.218,No rain,7.84,72,6.85,0.0,2
201,2023,Ca,ga,Al,15.0,12.0,76.425,0.0,Finished,70.0,33.0,24.117,No rain,-4.97,57,6.69,0.0,2
202,2023,Du,oc,Al,16.0,10.0,74.57,1.0,Finished,72.0,10.0,19.795,No rain,1.59,88,3.6,0.0,2
203,2020,Ei,ri,Re,6.0,3.0,89.584,15.0,Finished,60.0,44.0,22.530,No rain,-2.31,93,3.09,0.0,2
204,2022,Sã,ts,Al,0.0,17.0,75.508,0.0,+1 Lap,70.0,40.0,23.645,No rain,21.25,86,4.63,0.0,2
205,2024,Du,pi,Mc,3.0,4.0,74.237,12.0,Finished,72.0,33.0,20.969,No rain,1.59,88,3.6,0.0,1
206,2021,Sã,le,Fe,6.0,5.0,72.822,10.0,Finished,71.0,7.0,17.943,No rain,21.25,86,4.63,0.0,2
207,2021,Qa,ru,Wi,15.0,17.0,85.768,0.0,+2 Laps,55.0,17.0,26.121,No rain,20.97,72,3.43,0.0,2
208,2020,Sp,st,Ra,5.0,4.0,82.024,12.0,+1 Lap,65.0,27.0,22.351,No rain,9.61,85,3.09,0.0,2
